number,lat,lng,name
15116,51.0586,17.01411,Zwycięska / Agrestowa
15117,51.061492,16.997511,al. Karkonoska / Jeździecka
15118,51.07708,17.01824,Ślężna / Skierniewicka
15119,51.11059,16.95514,Strzegomska / Rogowska 
15120,51.08149,17.07693,Karwińska / Opolska
15121,51.12695,17.02804,Reymonta / Kleczkowska
15122,51.118899,17.013477,Młodych Techników
15123,51.12599,16.99725,Popowicka / Niedźwiedzia 
15124,51.13258,16.95697,Lotnicza / Metalowców
15125,51.09431,17.01479,Zaporoska / Wielka / Krucza
15126,51.15755,16.92781,Maślicka / Stodolna
15127,51.12658,16.95499,Bystrzycka / Idzikowskiego
15128,51.120068,17.077684,al. Kochanowskiego / Śniadeckich 
15129,51.13198,17.07945,al. Brücknera / Kwidzyńska
15130,51.13252,16.97377,Kozanowska / Pilczycka
15131,51.140713,16.958199,Pilczycka / Koszykarska
15132,51.150227,17.118549,al. Jana III Sobieskiego / stacja kolejowa
15133,51.147082,17.042321,Kamieńskiego / Jutrosińska
15134,51.05927,17.07877,Semaforowa
15135,51.10209,17.10168,Olszewskiego / Spółdzielcza
15136,51.101431,17.108481,"Olszewskiego, pętla tramwajowa"
15137,51.105578,17.111316,Bacciarellego
15138,51.11514,17.07436,al. Kochanowskiego / Kopernika
15139,51.13959,17.03216,Bałtycka / Żmigrodzka
15140,51.14156,17.02587,Bezpieczna / Obornicka
15141,51.125652,16.968627,Drzewieckiego / Dedala
15142,51.072302,17.012384,Ślężna / pętla tramwajowa
15143,51.05909,17.08687,Mościckiego / Chińska 
15144,51.09053,17.06373,Krakowska / Leroy Merlin
15145,51.14128,17.06613,Koszarowa / UWr
15146,51.14905,17.07565,Sołtysowicka / Redycka
15147,51.142596,17.081411,al. Poprzeczna / stacja kolejowa
15148,51.06841,17.00399,Przyjaźni / Karkonoska
15149,51.06667,16.99435,Przyjaźni
15150,51.06628,17.05825,Konduktorska
15151,51.120913,16.876257,Jerzmanowska
15152,51.08476,17.05309,Nyska / Piękna
15153,51.12469,17.03488,pl. Powstańców Wielkopolskich
15154,51.12274,17.03061,Plac Staszica
15155,51.12814,17.05477,Jedności Narodowej / Wyszyńskiego
15156,51.11397,17.10395,Mickiewicza / pętla tramwajowa
15157,51.08361,17.03523,al. Armii Krajowej / Borowska
15158,51.09152,17.04033,Gliniana / Gajowa
15159,51.087764,17.039318,Kamienna / Tomaszowska
15160,51.08283,17.04824,al. Armii Krajowej / Bardzka
15161,51.09126,16.98581,Hallera / Odkrywców
15162,51.07329,16.99485,Skarbowców / Wietrzna
15163,51.08022,16.99467,Racławicka / Rymarska
15164,51.13004,16.96605,Lotnicza / Bajana
15165,51.10666,17.14298,Strachocińska / Wieśniacza
15166,51.17759,17.01588,Księgarska / Dekarska / Zduńska
15167,51.11803073,17.09556341,Stadion Olimpijski
15168,51.08729,17.05115,Nyska / Jesionowa
15169,51.083551,17.060519,al. Armii Krajowej / Tarnogajska
15170,51.15127,16.86564,Prochowicka / Dolnobrzeska
15171,51.14395,16.89012,Boguszowska / Kosmonautów
15172,51.127778,16.990915,Popowicka 
15173,51.13884,16.93191,Kosmonautów / Glinianki / WUWA2
15174,51.15509,17.13249,Wilanowska
15175,51.16077283,17.12273419,Okulickiego
15176,51.142323,17.127246,Poleska / Litewska
15177,51.10224,17.11645,Bacciarellego / pętla autobusowa
15178,51.14597,16.86692,Średzka / Dolnobrzeska 
15179,51.11464,17.13042,Miłoszycka / Swojczycka 
15180,51.16322,16.89648,Stabłowicka / Główna 
15181,51.15435,16.89888,Wojanowska / Arbuzowa 
15183,51.14574,17.13493,Kiełczowska
15184,51.141797,17.123711,Gorlicka / Litewska
