number,tag,request
15099,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.17592, 16.998482);
                            node['shop'~'mall'](around:400, 51.17592, 16.998482);
                        );
                        out;"
15100,other,
15101,other,
15103,other,
15104,other,
15105,other,
15106,shopping,
15107,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.11869, 16.95336);
                            node['shop'~'mall'](around:400, 51.11869, 16.95336);
                        );
                        out;"
15108,other,
15109,education,
15110,other,
15111,other,
15112,other,
15113,shopping,
15114,other,
15115,other,
15116,other,
15117,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.061492, 16.997511);
                            node['shop'~'mall'](around:400, 51.061492, 16.997511);
                        );
                        out;"
15118,other,
15119,education,
15120,other,
15121,other,
15122,education,
15123,other,
15124,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.13258, 16.95697);
                            node['shop'~'mall'](around:400, 51.13258, 16.95697);
                        );
                        out;"
15125,other,
15126,other,
15127,other,
15128,other,
15129,education,
15130,other,
15131,other,
15132,other,
15133,other,
15134,other,
15135,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.10209, 17.10168);
                            node['shop'~'mall'](around:400, 51.10209, 17.10168);
                        );
                        out;"
15136,other,
15137,education,
15138,other,
15139,other,
15140,other,
15141,education,
15142,other,
15143,other,
15144,other,
15145,education,
15146,education,
15147,other,
15148,other,
15149,other,
15150,other,
15151,other,
15152,education,
15153,other,
15154,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.12274, 17.03061);
                            node['shop'~'mall'](around:400, 51.12274, 17.03061);
                        );
                        out;"
15155,other,
15156,education,
15157,education,
15158,education,
15159,education,
15160,other,
15161,other,
15162,education,
15163,education,
15164,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.13004, 16.96605);
                            node['shop'~'mall'](around:400, 51.13004, 16.96605);
                        );
                        out;"
15165,other,
15166,other,
15167,education,
15168,education,
15169,other,
15170,other,
15171,other,
15172,other,
15173,other,
15174,other,
15175,education,
15176,education,
15177,education,
15178,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.14597, 16.86692);
                            node['shop'~'mall'](around:400, 51.14597, 16.86692);
                        );
                        out;"
15179,other,
15180,other,
15181,other,
15183,education,
15184,other,
15185,other,
15186,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.148528, 17.020477);
                            node['shop'~'mall'](around:400, 51.148528, 17.020477);
                        );
                        out;"
15187,health,
15188,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.171074, 16.902364);
                            node['shop'~'mall'](around:400, 51.171074, 16.902364);
                        );
                        out;"
15189,other,
15190,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.109457, 17.097924);
                            node['shop'~'mall'](around:400, 51.109457, 17.097924);
                        );
                        out;"
15191,other,
15192,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.05864, 17.05717);
                            node['shop'~'mall'](around:400, 51.05864, 17.05717);
                        );
                        out;"
15193,education,
15194,other,
15195,education,
15196,other,
15197,shopping,
15198,education,
15199,other,
15200,other,
15251,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.12887567, 17.04499841);
                            node['shop'~'mall'](around:400, 51.12887567, 17.04499841);
                        );
                        out;"
15252,other,
15253,shopping,
15254,other,
15255,other,
15256,other,
15257,other,
15258,education,
15259,other,
15260,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.09761, 17.06855);
                            node['shop'~'mall'](around:400, 51.09761, 17.06855);
                        );
                        out;"
15261,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.08, 17.00773);
                            node['shop'~'mall'](around:400, 51.08, 17.00773);
                        );
                        out;"
15262,education,
15263,other,
15264,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.11805, 16.94632);
                            node['shop'~'mall'](around:400, 51.11805, 16.94632);
                        );
                        out;"
15265,other,
15266,education,
15267,education,
15268,other,
15269,other,
15270,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.13894, 17.02028);
                            node['shop'~'mall'](around:400, 51.13894, 17.02028);
                        );
                        out;"
15271,education,
15272,other,
15273,other,
